"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1		"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1
1326.817	0.105756	1271.444	0.105874	1182.122	0.106014	1168.24	0.106323	1017.803	0.10552	1231.235	0.106747	1254.925	0.106714	1315.995	0.107658	1300.415	0.107258	1316.085	0.107761		673.183	0.105756	728.556	0.105874	817.878	0.106014	831.76	0.106323	982.197	0.10552	768.765	0.106747	745.075	0.106714	684.005	0.107658	699.585	0.107258	683.915	0.107761
1326.121	0.105861	1285.776	0.10604	1228.686	0.106616	1239.45	0.107112	1140.291	0.106147	1299.9	0.107651	1264.907	0.106893	1335.963	0.108233	1301.775	0.107287	1347.361	0.109237		673.879	0.105861	714.224	0.10604	771.314	0.106616	760.55	0.107112	859.709	0.106147	700.1	0.107651	735.093	0.106893	664.037	0.108233	698.225	0.107287	652.639	0.109237
1319.147	0.107054	1313.345	0.106353	1270.531	0.107152	1299.188	0.107811	1246.711	0.107083	1340.281	0.108461	1317.897	0.107757	1364.335	0.109185	1312.754	0.107684	1350.237	0.109375		680.853	0.107054	686.655	0.106353	729.469	0.107152	700.812	0.107811	753.289	0.107083	659.719	0.108461	682.103	0.107757	635.665	0.109185	687.246	0.107684	649.763	0.109375
1319.091	0.107061	1388.624	0.107254	1274.346	0.107212	1337.025	0.108881	1289.822	0.107591	1370.306	0.109456	1345.459	0.108563	1379.2	0.109974	1358.203	0.109294	1351.966	0.109521		680.909	0.107061	611.376	0.107254	725.654	0.107212	662.975	0.108881	710.178	0.107591	629.694	0.109456	654.541	0.108563	620.8	0.109974	641.797	0.109294	648.034	0.109521
1318.752	0.107092	1400.786	0.107621	1277.405	0.107291	1354.595	0.109375	1289.822	0.107591	1388.771	0.11023	1367	0.109219	1386.121	0.110388	1360.662	0.109397	1368.864	0.110938		681.248	0.107092	599.214	0.107621	722.595	0.107291	645.405	0.109375	710.178	0.107591	611.229	0.11023	633	0.109219	613.879	0.110388	639.338	0.109397	631.136	0.110938
1302.565	0.108538	1425.466	0.108187	1323.134	0.10839	1359.914	0.109688	1335.761	0.108512	1403.328	0.11111	1395.937	0.110694	1395.601	0.1111	1363.141	0.109574	1380.912	0.112311		697.435	0.108538	574.534	0.108187	676.866	0.10839	640.086	0.109688	664.239	0.108512	596.672	0.11111	604.063	0.110694	604.399	0.1111	636.859	0.109574	619.088	0.112311
1297.416	0.108973	1423.169	0.10934	1340.017	0.10902	1381.022	0.110938	1356.245	0.109131	1405.452	0.111259	1396.694	0.11073	1407.901	0.11237	1382.521	0.110937	1382.548	0.1125		702.584	0.108973	576.831	0.10934	659.983	0.10902	618.978	0.110938	643.755	0.109131	594.548	0.111259	603.306	0.11073	592.099	0.11237	617.479	0.110937	617.452	0.1125
1281.9	0.110086	1422.302	0.109518	1351.688	0.109375	1395.928	0.112456	1378.014	0.109969	1415.222	0.112332	1397.703	0.11081	1412.741	0.112865	1387.593	0.111474	1383.844	0.112693		718.1	0.110086	577.698	0.109518	648.312	0.109375	604.072	0.112456	621.986	0.109969	584.778	0.112332	602.297	0.11081	587.259	0.112865	612.407	0.111474	616.156	0.112693
1278.206	0.1103	1419.99	0.109674	1369.493	0.109931	1396.433	0.1125	1401.469	0.111647	1419.405	0.113632	1411.771	0.111973	1419.037	0.114037	1397.453	0.1125	1392.807	0.114008		721.794	0.1103	580.01	0.109674	630.507	0.109931	603.567	0.1125	598.531	0.111647	580.595	0.113632	588.229	0.111973	580.963	0.114037	602.547	0.1125	607.193	0.114008
1268.365	0.110791	1398.443	0.111027	1400.899	0.110938	1397.284	0.112583	1403.727	0.111824	1420.425	0.114675	1417.859	0.112844	1422.113	0.114584	1404.384	0.113446	1397.801	0.114773		731.635	0.110791	601.557	0.111027	599.101	0.110938	602.716	0.112583	596.273	0.111824	579.575	0.114675	582.141	0.112844	577.887	0.114584	595.616	0.113446	602.199	0.114773
