x position	heat_tr	normalised		position	dT/dy	normalised dT/dy		position	temp	normalised		x	Stanton	Plotted stanton	normalised		x	temp	normalised
0.0799989	142.228	0.084828676		0.0949974	-43450.3	-0.173037757		0.0799989	1527.43	0.985445067		0.078	-0.00055316	0.00055316	0.057221475		0.0749986	305.37	0.082360793
0.080999	145.064	0.086520144		0.095998	-46188.4	-0.183942048		0.080999	1526.9	0.98510313		0.079	-0.000561542	0.000561542	0.058088549		0.0759986	305.422	0.083352403
0.081999	147.809	0.088157338		0.0969985	-48989.7	-0.195098028		0.081999	1526.39	0.984774095		0.08	-0.000570067	0.000570067	0.058970415		0.0769987	305.472	0.084305873
0.0829991	150.442	0.089727731		0.097999	-51837.1	-0.206437597		0.0829991	1525.73	0.984348286		0.081	-0.000578749	0.000578749	0.059868522		0.0779988	305.52	0.085221205
0.0839991	153.017	0.091263531		0.0989995	-54712.3	-0.217887879		0.0839991	1525	0.983877315		0.082	-0.000587576	0.000587576	0.060781628		0.0789988	305.568	0.086136537
0.0849992	155.703	0.092865535		0.1	-57602.3	-0.2293971		0.0849992	1524.17	0.983341828		0.083	-0.000596519	0.000596519	0.061706734		0.0799989	305.614	0.08701373
0.0859993	158.59	0.094587421		0.101001	-60502.8	-0.240948137		0.0859993	1523.31	0.982786986		0.084	-0.000605559	0.000605559	0.062641874		0.080999	305.66	0.087890923
0.0869993	161.591	0.0963773		0.102001	-63419.1	-0.252562096		0.0869993	1522.59	0.982322467		0.085	-0.000614689	0.000614689	0.063586325		0.081999	305.705	0.088749047
0.0879994	164.702	0.098232786		0.103002	-66360.5	-0.264276014		0.0879994	1521.87	0.981857947		0.086	-0.000623849	0.000623849	0.064533878		0.0829991	305.749	0.089588101
0.0889994	167.898	0.100138968		0.104002	-69335	-0.276121751		0.0889994	1521.16	0.98139988		0.087	-0.000632847	0.000632847	0.065464674		0.0839991	305.792	0.090408085
0.0899995	171.122	0.10206185		0.105003	-72347.3	-0.288118023		0.0899995	1520.45	0.980941813		0.088	-0.000641488	0.000641488	0.066358539		0.0849992	305.834	0.091209001
0.0909995	174.409	0.104022306		0.106003	-75398.5	-0.300269212		0.0909995	1519.72	0.980470842		0.089	-0.000649618	0.000649618	0.067199545		0.0859993	305.874	0.091971777
0.0919996	177.798	0.106043599		0.107004	-78486.8	-0.312568149		0.0919996	1518.99	0.979999871		0.09	-0.000657059	0.000657059	0.067969277		0.0869993	305.911	0.092677346
0.0929996	181.299	0.108131691		0.108004	-81609.5	-0.325004082		0.0929996	1518.27	0.979535352		0.091	-0.000663702	0.000663702	0.06865646		0.0879994	305.946	0.093344775
0.0939997	184.861	0.110256166		0.109005	-84761	-0.337554709		0.0939997	1517.58	0.979090188		0.092	-0.000669664	0.000669664	0.069273197		0.0889994	305.976	0.093916857
0.0949997	188.151	0.112218412		0.110005	-87930.8	-0.350178214		0.0949997	1516.83	0.978606314		0.093	-0.000675385	0.000675385	0.069865005		0.0899995	306.003	0.094431732
0.0959998	190.936	0.113879462		0.111006	-91106.9	-0.362826808		0.0959998	1516	0.978070826		0.094	-0.000681518	0.000681518	0.070499431		0.0909995	306.026	0.094870328
0.0969999	193.504	0.115411088		0.112006	-94282.4	-0.375473013		0.0969999	1515.2	0.977554694		0.095	-0.000688632	0.000688632	0.071235337		0.0919996	306.046	0.095251716
0.0979999	196.106	0.116962992		0.113007	-97460.1	-0.388127979		0.0979999	1514.42	0.977051465		0.096	-0.000696905	0.000696905	0.072091135		0.0929996	306.064	0.095594966
0.0989999	198.752	0.118541139		0.114008	-100649	-0.400827549		0.0989999	1513.63	0.976541784		0.097	-0.000706046	0.000706046	0.073036723		0.0939997	306.084	0.095976354
0.1	201.453	0.120152089		0.115008	-103853	-0.413587253		0.1	1512.85	0.976038555		0.098	-0.000715471	0.000715471	0.074011689		0.0949997	306.107	0.09641495
0.101	204.221	0.121803		0.116009	-107074	-0.426414659		0.101	1512.07	0.975535326		0.099	-0.000724586	0.000724586	0.074954588		0.0959998	306.133	0.096910755
0.102	207.035	0.123481347		0.117009	-110314	-0.43931773		0.102	1511.29	0.975032097		0.1	-0.000732986	0.000732986	0.075823523		0.0969999	306.16	0.097425629
0.103	209.845	0.125157308		0.11801	-113574	-0.45230045		0.103	1510.5	0.974522416		0.101	-0.000740529	0.000740529	0.076603807		0.0979999	306.186	0.097921434
0.104	212.626	0.126815972		0.11901	-116853	-0.465358837		0.104	1509.73	0.974025639		0.102	-0.000747299	0.000747299	0.077304127		0.0989999	306.21	0.0983791
0.105	215.36	0.128446605		0.120011	-120137	-0.478437135		0.105	1508.96	0.973528861		0.103	-0.000753529	0.000753529	0.077948588		0.1	306.231	0.098779558
0.106	218.046	0.130048609		0.121012	-123407	-0.49145968		0.106	1508.2	0.973038536		0.104	-0.00075949	0.00075949	0.078565222		0.101	306.247	0.099084668
0.107	220.703	0.131633316		0.122012	-126649	-0.504370716		0.107	1507.45	0.972554662		0.105	-0.000765413	0.000765413	0.079177925		0.102	306.261	0.09935164
0.108	223.327	0.133198342		0.123013	-129852	-0.517126438		0.108	1506.7	0.972070788		0.106	-0.000771431	0.000771431	0.079800455		0.103	306.273	0.099580473
0.109	225.9	0.13473295		0.124014	-133016	-0.529726845		0.109	1505.97	0.971599817		0.107	-0.000777586	0.000777586	0.080437157		0.104	306.285	0.099809306
0.110001	228.427	0.136240122		0.125014	-136140	-0.542167955		0.110001	1505.25	0.971135298		0.108	-0.000783874	0.000783874	0.081087618		0.105	306.297	0.100038139
0.111001	230.955	0.13774789		0.126015	-139226	-0.554457732		0.111001	1504.53	0.970670779		0.109	-0.000790307	0.000790307	0.081753077		0.106	306.309	0.100266972
0.112001	233.537	0.139287866		0.127016	-142272	-0.566588213		0.112001	1503.83	0.970219163		0.11	-0.000796918	0.000796918	0.08243695		0.107	306.322	0.100514874
0.113001	236.17	0.140858259		0.128016	-145277	-0.578555414		0.113001	1503.13	0.969767547		0.111	-0.000803749	0.000803749	0.083143581		0.108	306.336	0.100781846
0.114001	238.812	0.14243402		0.129017	-148239	-0.59035137		0.114001	1502.44	0.969322383		0.112	-0.000810827	0.000810827	0.083875763		0.109	306.35	0.101048818
0.115001	241.441	0.144002028		0.130018	-151158	-0.601976082		0.115001	1501.76	0.96888367		0.113	-0.000818169	0.000818169	0.084635254		0.110001	306.366	0.101353928
0.116001	244.063	0.14556586		0.131018	-154009	-0.613329988		0.116001	1501.09	0.968451409		0.114	-0.000825784	0.000825784	0.085422985		0.111001	306.382	0.101659039
0.117001	246.684	0.147129097		0.132019	-156609	-0.623684305		0.117001	1500.43	0.9680256		0.115	-0.000833644	0.000833644	0.086236061		0.112001	306.399	0.101983219
0.118001	249.288	0.148682194		0.13302	-158145	-0.629801317		0.118001	1499.79	0.967612694		0.116	-0.00084165	0.00084165	0.087064239		0.113001	306.417	0.102326468
0.119001	251.866	0.150219783		0.13402	-159191	-0.633966938		0.119001	1499.15	0.967199788		0.117	-0.000849623	0.000849623	0.087889004		0.114001	306.436	0.102688787
0.120001	254.431	0.15174962		0.135021	-161248	-0.642158795		0.120001	1498.53	0.966799786		0.118	-0.000857327	0.000857327	0.088685942		0.115001	306.454	0.103032037
0.121001	257.007	0.153286017		0.136022	-163707	-0.65195159		0.121001	1497.92	0.966406235		0.119	-0.000864513	0.000864513	0.089429296		0.116001	306.473	0.103394355
