"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1
1090.91	0.140358	970.427	0.136153	901.378	0.138602	844.929	0.140088	798.247	0.141074	838.431	0.153109	694.799	0.137384	717.869	0.1442	669.948	0.140208	681.093	0.144839
1096.14	0.142358	982.47	0.137809	905.355	0.139092	860.023	0.141897	798.783	0.141141	841.194	0.153588	718.684	0.140568	739.202	0.147483	694.578	0.143984	698.657	0.147902
1100.42	0.144381	1008.7	0.141801	928.682	0.141861	875.194	0.143953	800.319	0.141342	843.365	0.154023	728.97	0.141957	743.496	0.148166	698.63	0.144608	713.192	0.150708
1101.7	0.145353	1012.82	0.14265	952.517	0.145486	886.346	0.145553	831.032	0.145228	866.55	0.158535	747.778	0.144591	764.886	0.151863	712.862	0.146958	718.673	0.151796
1106.74	0.148121	1021.71	0.144848	974.735	0.149814	907.786	0.148878	843.897	0.147062	873.43	0.160173	762.876	0.146753	781.384	0.154977	712.945	0.146972	742.636	0.156983
1109.71	0.149639	1034.63	0.147796	989.27	0.153272	918.669	0.15078	865.891	0.15046	882.171	0.162308	776.578	0.148802	796.011	0.157988	739.446	0.151783	747.657	0.158119
1111	0.150255	1036.67	0.148367	994.624	0.154625	937.523	0.154443	874.334	0.151954	889.151	0.164255	794.518	0.151724	815.006	0.16236	748.076	0.153462	753.094	0.159446
1121.52	0.156209	1047.57	0.152326	996.518	0.15522	946.424	0.156536	888.446	0.15449	889.164	0.164259	802.628	0.153106	819.566	0.163436	769.028	0.157957	768.551	0.163231
1123.45	0.157037	1053.23	0.154273	1013.85	0.160425	962.33	0.160409	898.55	0.156652	889.182	0.164264	821.682	0.15678	825.143	0.164903	774.59	0.159143	779.383	0.166058
1135.7	0.163945	1060.65	0.156932	1014.58	0.160653	974.58	0.163859	908.893	0.158854	903.219	0.168	826.901	0.157859	835.365	0.16756	776.245	0.159548	786.278	0.168
1138.63	0.16538	1067.47	0.159096	1020.75	0.162615	982.261	0.165941	913.85	0.160092			845.938	0.162431	837.008	0.168	787.979	0.162337		
1140.56	0.166279	1078.01	0.162904	1031.29	0.165916	988.919	0.168	923.073	0.162435			852.516	0.16398			793.726	0.163826		
1142.22	0.168	1082.76	0.164536	1037.55	0.168			931.004	0.164547			854.277	0.164438			809.092	0.167781		
		1090.52	0.168	1033.16	0.166497			936.747	0.166028			867.583	0.168			809.958	0.168		
				1031.29	0.165916			942.858	0.167748										
								943.788	0.168										
